id,date,place,tweet,language,hashtags,user_id,username,name,nlikes,nreplies,nretweets,geo
947502299248766978,2017-12-31 17:18:46,,@BBCBreaking @BBC100women Cudos  to the women who spoke out. Telling is the start of healing. I’m 74 and I was gang raped at  18 and never told anyone until I was 50. That was the point in my life when I started to heal and realized I could help other women by “telling”.  I can’t we can together!,en,[],4925741104,24ruggles,Concerned Elder,0,0,0,
947440814053093376,2017-12-31 13:14:27,,"From breaking the glass ceiling to challenging sexism in sport, watch the inspirational #100Women documentaries on iPlayer now  https://t.co/qVUU9bfEy8  https://t.co/21GQJmxmLa",en,['100women'],801001852171157504,BBC100women,BBC 100 Women,19,0,7,
947252045077270528,2017-12-31 00:44:21,,Meet Contributing Author: Dee Manigan-Cooley #shewouldntletmefall #faith #forgiveness #friendship #100women...  https://t.co/JsWgx2ndSv,en,"['shewouldntletmefall', 'faith', 'forgiveness', 'friendship', '100women']",813785237926924289,100WomenStories,100Women100Stories,0,0,0,
947251390300217344,2017-12-31 00:41:45,,Meet Contributing Author: Dee Manigan-Cooley #shewouldntletmefall #faith #forgiveness #friendship #100women...  https://t.co/dHUbxEZh3l,en,"['shewouldntletmefall', 'faith', 'forgiveness', 'friendship', '100women']",21248871,emiajllc,Emiaj Enterprises,0,0,0,
947177950356664320,2017-12-30 19:49:55,,@MominaMustehsan @fifiharoon @BBC100women nice,en,[],790943184050393088,redrose6086,Ali G,0,0,0,
947078855784792064,2017-12-30 13:16:09,,@MominaMustehsan @fifiharoon @BBC100women cute,en,[],944516083196858369,AliGoha39204048,Ali Gohar,0,0,0,
947057224249233408,2017-12-30 11:50:12,,@Rocket_Woman1 @TinaDaheley @BBCNaga @BBC100women @BBCBreakfast Not sure I would describe them as trailblazers. They’re both just very good at their job,en,[],931883800996601856,DanielDav2017,Daniel Davenport,1,0,0,
946875459861663745,2017-12-29 23:47:56,,Meet Contributing Author: Deborah Little #shewouldntletmefall #faith #forgiveness #friendship #100women...  https://t.co/cX9l3HinN3,en,"['shewouldntletmefall', 'faith', 'forgiveness', 'friendship', '100women']",813785237926924289,100WomenStories,100Women100Stories,1,0,0,
946875006797209600,2017-12-29 23:46:08,,Meet Contributing Author: Deborah Little #shewouldntletmefall #faith #forgiveness #friendship #100women...  https://t.co/gcZxOV88bh,en,"['shewouldntletmefall', 'faith', 'forgiveness', 'friendship', '100women']",21248871,emiajllc,Emiaj Enterprises,0,0,0,
946871639014346753,2017-12-29 23:32:45,,"@Aluminiumville @HistoryWO @womensmarchlon @GuiltFemPod @SistersUncut @UN_Women @maryonthegreen @BBC100women @fawcettsociety Rose Kerrigan, another rent striker and like Crawfurd a leading Communist and peace campaigner deserves recognition too.",en,[],49155439,ewangibbs,Ewan Gibbs,2,1,0,
946847808417665025,2017-12-29 21:58:03,,"Make sure to check out 100 Women You Need To know Campaign!! Support our Beautiful, educated ladies!! #100women #savingherelegance    https://t.co/WahayUd7zM",en,"['100women', 'savingherelegance']",3112838501,SaveHerElegance,Saving Her Elegance,0,0,0,
946787392014503939,2017-12-29 17:57:59,,@BBC100women produce innovative online legacy skill resource to continue to encourage women &amp; girls sport participation  https://t.co/gKO2xhOE5f,en,[],712273121336762368,sportpol,SportPol 🏴󠁧󠁢󠁷󠁬󠁳󠁿💙,0,0,0,
946778151656546304,2017-12-29 17:21:16,,#NewYearsResolution join @100womenywg Make a BIG difference for Wpg charities. All it takes is $1.10/day &amp; 4 hours/year #giving #charity #Winnipeg #100women  https://t.co/ItV4TXUhvp,en,"['newyearsresolution', 'giving', 'charity', 'winnipeg', '100women']",3059106433,100womenywg,100 WomenWhoCareWpg,4,0,6,
946726169843585025,2017-12-29 13:54:42,,How do we know when the line has been crossed? When are explicit sexual jokes in the workplace acceptable! Are they expecting us to accept their behaviour as normal so they can go further? SHOUT OUT AGAINST IT! #100women #RespectWomen   https://t.co/ng2Fd4Hxxp,en,"['100women', 'respectwomen']",564472068,KazLH1,Me,0,0,0,
